Restaurant,Cuisine
Dosa Plaza,"Indian, Asian, Chinese"
Hatam Restaurant,"Iranian, Arabic"
Fresh Way Sushi,"Japanese, International, Asian"
Naqsa And Manqosha Restaurant,International
Mini Punjab Restaurant,"Indian, Pakistani, Grills"
Portsaid Restaurant,"Indian, Vegetarian, Asian"
Exotica Restaurant,"Chinese, Indian, Asian"
XO Cafe,"Seafood, Desserts, Healthy"
Njoom Al Abrah Cafeteria,"Asian, Beverages"
Baba Cafe,"American, Burgers, Italian"
Ree7an,"Arabic, Breakfast, International"
Mister Biryani,"Indian, Mandi"
Bait Al Waleema Restaurant,"Arabic, Egyptian, International"
Bota Restaurant,"Breakfast, Sandwiches"
Da Gama,"Mexican, International"
QKO Asian Market,"Grocery, Asian"
Value Time Restaurant,"Burgers, Chinese, Indian"
Emirati Shark Seafood Restaurant,"Arabic, Seafood, Emirati"
Zoom Burger Restaurant,"American, Burgers"
Boom Burger Restaurant,"American, Burgers, Beverages"
Brothers Eatery,"American, Italian, Pizza"
Nene Chicken,American
Yakitate,"Japanese, Cafe"
Thali House,"Healthy, Indian"
Xenia Cafe & Lounge,"International, Arabic, Lebanese"
Racing Of Taste Cafe,"Burgers, Sandwiches, International"
Golden Plates Restaurant,"Indian, Asian, Chinese"
Malaga,"Italian, Pizza"
Samurai Restaurant,Japanese
Babaji Turkish Restaurant,"Turkish, Shawarma & Doner, Breakfast"
J5 Restaurant,"American, Italian, Arabic"
Bite Restaurant and Cafe,"Breakfast, Healthy"
Tanuki,"Japanese, Seafood, Asian"
Khemeer,"Emirati, Breakfast, Sandwiches"
FoodSheikh All Stars,"Arabic, Bakery and Cakes, International"
Taste Philippines Restaurant,"Asian, Chinese"
Kebab Grill 44,"Indian, Pakistani, Asian"
Five Degrees Cafe,"Beverages, Cafe, Desserts"
Emirates Spring Mandi Restaurant,"Emirati, Mandi"
Galestro Espresso Cafe,"Breakfast, Desserts, Sandwiches"
Rosenheim Cafe and Restaurant,"Arabic, Breakfast, Grills"
Signature By Sanjeev Kapoor,"Indian, Vegetarian, Grills"
Pastryology,"Chocolate , Desserts"
Burger Hood,"Burgers, American"
Kimbo Cafe & Restaurants,"Beverages, Italian, Pizza"
Docib Nutrition,"Pharmacy, Nutrition"
Radio Cafe,"Beverages, Cafe, Desserts"
Miki Pao,"Asian, Cafe, Seafood"
Memsaab Curry & Tandoor,"Indian, Pakistani, Asian"
Eldorado Restaurant,"Indian, Breakfast, Chinese"
Anya cafe,"International, Beverages, Cafe"
Ninety Plus  Specialty Coffee,"Cafe, Desserts, Beverages"
Tourbillon Cafe,"American, Cafe, Desserts"
Shawerma & Furun Restaurant,"Shawarma & Doner, Sandwiches"
The Better Burger Co.,International
Tabaq Al Hejazi Al Raqi Restaurant,"Arabic, Seafood"
The POKE Project,"Healthy, Japanese, Vegetarian"
Nayana Restaurant And Cafe,"Arabic, Grills, International"
Pappa Crepe Healthy Food,"Healthy, Sandwiches, International"
Uncle Tetsu,"Japanese, Desserts, Healthy"
Pause,"American, Cafe"
Bait Al Sultan Sweets,"Bakery and Cakes, Desserts"
Meats & Flame Restaurant,"Burgers, American"
Low calorie Restaurant,Healthy
Snooze Cafe,Cafe
Inasal House,"Asian, Grills"
Special Lomi Restaurant,"Asian, Seafood, International"
Al Zinjibari Restaurant,International
Skinny Burgers,Burgers
