Restaurant,Cuisine
Anbar Restaurant & Cafe,"Arabic, Lebanese, Sandwiches"
Lahore Corner Restaurant,Pakistani
Pergolas Restaurant,"Burgers, Cafe, American"
Oasis Chinese Restaurant,"Chinese, Asian"
Parivar Restaurant,"Indian, Pakistani, Vegetarian"
Proper Sliders,"Sliders, Burgers, Sandwiches"
Sun&,"Italian, International"
Good & Best Restaurant,Indian
Triple A Cafe and Breakfast,"Breakfast, Cafe"
Dumpling Express,International
Piadera,"Italian, Sandwiches, Healthy"
Sama Al Quds,"Arabic, Sandwiches"
Khyber Kashmir Restaurant,"Arabic, Indian, Pakistani"
Golden Dragon,"Asian, Chinese, Seafood"
Indian Chef Restaurant,Indian
Bombay Tawa & Kebab Restaurant,"Indian, Grills"
Al Meshwar,"Arabic, Desserts, Lebanese"
Falafel Shawarma & More,"Arabic, Shawarma & Doner"
Hamburgah,"American, Burgers"
Arabisk Restaurant And Cafe,"American, Italian, Asian"
Al Khaleej Al Shahiyah Pastry,"Bakery and Cakes, Breakfast"
Top Bun,"Sliders, American, Wings"
Hangry Food Hall,"Healthy, International"
Tajin & Tanjiah,Arabic
Makarem Restaurant,"Arabic, Mandi"
Tea Break,"Burgers, Sandwiches, Beverages"
Waga Restaurant,Japanese
Taco Decasa Restaurant,Mexican
Chargrilled,"Grills, Pakistani, International"
ALkhaima ALshamia Restaurant And Grills,"Arabic, International"
On Fire,"Burgers, Sandwiches, Beverages"
Lord of The Wings,"Wings, American, Burgers"
Yasmin Al Sham Restaurant,"Arabic, Shawarma & Doner, Pizza"
Flux,"Breakfast, Cafe, International"
Catchy Cafe,"Breakfast, Desserts, Beverages"
Mr. Pastries,"Arabic, Lebanese"
Kolam Mustard Fine Dining Restaurant,"Asian, Grills, Indian"
Amritsr Restaurant,"Indian, Seafood, Grills"
Atyab Hum Yam,"American, Pizza, Sandwiches"
Green Eatery,Healthy
Al Sayyad,"Seafood, Arabic, Grills"
Al Liwan Al Shami Restaurant,"Arabic, Breakfast, Lebanese"
Jay Cafe,"Burgers, Japanese"
Litchy Sushi Lounge,"Seafood, Japanese"
Golden Dragon,"Asian, Chinese, Seafood"
Chicken Tikka Inn,"Indian, Pakistani"
Tandoori Kitchen,"Indian, Pakistani, Vegetarian"
Pasta 2 Go,"Italian, International, Desserts"
Galito's,"International, American, Burgers"
Soho Grill,"American, Burgers, Cafe"
Uptown Pizza & Burger,"Pizza, Burgers, Italian"
Al Areesh,"Arabic, Lebanese"
Mizushi Restaurant,"Japanese, Seafood, Asian"
Asmar Restaurant,"Arabic, Mandi, Emirati"
Donaccino,"Desserts, Breakfast, Cafe"
Seen Restaurant,"American, Cafe, Italian"
Breaking Bread,"Healthy, Sandwiches, Breakfast"
Ameer Al Shawarma Restaurant & Grill,"Shawarma & Doner, Beverages, Sandwiches"
Yakuza,Asian
The Butcher Shop & Grill,"Grills, International, Burgers"
Perfetto Salad,"Healthy, International"
Bake Al Arab Sweets & pastries,"Desserts, Breakfast"
Sale Sucre,Desserts
Omelette,"Breakfast, Desserts, International"
Olivia Restaurant,"Arabic, Lebanese, International"
Natural Kitchen,"Healthy, Italian, Mexican"
La Carne Premium Meat Butchery,Butchery
Groceries by Kitopi,"Grocery, Specialty Store, Healthy"
Deccan Darbar,"Indian, Pakistani"
Red Table Restaurant,"Iranian, Seafood"
Steakanji Philly Steaks,"International, American, Sandwiches"
Vegan Grocer,Grocery
Brownie Cafe,"Desserts, Breakfast, Cafe"
Tazaj & Latheeth Cafeteria,"Arabic, Beverages, Egyptian"
Al Hunoof Public Kitchen,"Arabic, Mandi"
The Soul Bowl,"Sandwiches, Vegetarian, Healthy"
Qasar Al Mashawi,"Arabic, Grills"
Pizza Nation,"Italian, Pizza"
Bash and Mash Restaurant,"American, Burgers, Pasta"
Al Kaif Restaurant,"Arabic, Burgers, Italian"
Biryani & BBQ Flavours,"Arabic, Pakistani, International"
Kaffe Bloom,"Cafe, Healthy, Sandwiches"
Cafeteria Al Aistraha,"Burgers, Sandwiches, Fresh Juice"
Pizzetta,"Pizza, Italian"
Easy Diet Cafeteria,"Healthy, Snacks "
Dar Al Magloobah Restaurant,"Arabic, Lebanese, Emirati"
Zarzoor Kabab Al Iraqi Cafeteria,"Grills, Healthy, Arabic"
Ayam Amman Sweets,Desserts
CakeWalk,"Desserts, Italian, Cafe"
Ghaytah Cafe,"Emirati, Breakfast"
Al Jon Cafe,"Cafe, Arabic, Burgers"
Romys Restaurant & Confectioneries,"Indian, Chinese"
L'antica Pizzeria Da Michele,"Italian, Pizza"
Chota Restaurant,"Indian, Breakfast, Desserts"
Burger Zoghali Cafeteria,"Burgers, American"
Al Taj Restaurant,"Grills, Indian, Pakistani"
Shiraz Nights Restaurant,"Arabic, Iranian"
Hot Plate Restaurant,"Asian, Chinese, Indian"
Treat Me Gluten Free,"Specialty Store, Grocery"
Chaclet Emarati Chocolatier,"Specialty Store, Cafe, Desserts"
Cupagahwa,"Cafe, Desserts"
The Kettle Corner Restaurant,"Breakfast, Indian, International"
Mugg & Bean,"Breakfast, Sandwiches, International"
Supermarche,"Grocery, Beverages, Snacks "
Mandi Box,"Emirati, Arabic, Mandi"
Mamikonyan Restaurant,"Arabic, Grills, Lebanese"
Baba Tea Restaurant,"Sandwiches, American, Burgers"
Shawarma Taxi,"Shawarma & Doner, Sandwiches, Arabic"
Al Sarab Cafeteria,"Arabic, Chinese, Indian"
28Acai,"Desserts, Healthy, Frozen Yogurt"
Gypsy Chinese,"Chinese, Asian"
Destiny,"Burgers, Cafe, Sandwiches"
Chocoholics Chocolates,"Chocolate , Flowers, Specialty Store"
Kadooli Tea Palace,"Fast Food, American, Burgers"
Traffic Burger,"Burgers, Italian, American"
The Onion Bhaji,"Healthy, Vegetarian"
Chaat Masala Cafeteria,Indian
Turkish Taste Cafeteria & Grills,"Turkish, Arabic, Shawarma & Doner"
Kohinoor Restaurant,"Indian, International, Arabic"
Burger Plus,"Burgers, Pizza, American"
Essentially,Beverages
Biryani Bazaar,"Healthy, Indian"
Grill Corner Cafe & Restaurant,"Asian, International"
Wadi Express,"Arabic, Lebanese"
Wide Range,"Indian, Arabic, Chinese"
Canteen,"Arabic, Cafe"
Pad Thai,"Thai, Asian, Healthy"
Peppers,"Burgers, American"
Farooj Express,"Sandwiches, Shawarma & Doner, Burgers"
Healthy Little Secrets Cafe,"Healthy, Sandwiches, Cafe"
Hungry Hut,"Indian, International"
Freddo Cafe,"Lebanese, Arabic, Cafe"
Qasr Al Qasimia Restaurant OLD,"Indian, Pakistani"
China Garden,"Chinese, Seafood"
Al Dar Roastery,"Specialty Store, Roastery"
Spheerz,"Asian, Japanese"
Wadi Al Beeh,"Chinese, Indian, Seafood"
Smoqoholic Seafood Restaurant & Cafe,"Indian, Seafood, Chinese"
Al Jood Mandy,"Arabic, Mandi"
Taza,"Arabic, Asian, Sandwiches"
Burger Boutique,"Burgers, Healthy, American"
Wraps & Salad Café,"Arabic, Bakery and Cakes"
Care Mark Pharmacy,Pharmacy
Food Point,"Asian, Indian, International"
Fukhara And Sajia Restaurant,"Arabic, Shawarma & Doner, International"
Tia’s Fresh Mex,International
LETO,"Healthy, Breakfast, Desserts"
Student Biryani,"Indian, Pakistani"
Burger Wings,"Burgers, American"
Al Furat Restaurant,"Arabic, Shawarma & Doner, Burgers"
Froyo,"Desserts, Healthy, Frozen Yogurt"
Olio's Gourmet,"International, American, Healthy"
Sho Sho's Restaurant & Cafe,"Burgers, Indian, Pizza"
The Butcher Dubai Burger and Bar,"Burgers, Cafe, American"
Solidago Flower,Flowers
Deem Restaurant,Grills
Intraflora,Flowers
Treats By Parker's,"Desserts, Specialty Store"
Shiraz Kabab Khas Iranian Restaurant,Iranian
Le Chapeau,"Burgers, Japanese, International"
Pizza King,Pizza
Bert's,"Cafe, Healthy, Breakfast"
Al Diwan,"Lebanese, Arabic, Grills"
Mambo Gourmet Pizza,Pizza
Danat Shay Mirdif Cafeteria,"American, Burgers"
Black Petals Flowers,Flowers
Sarhad Punjab Restaurant,"Breakfast, Indian, Pakistani"
Indian Curry Restaurant,"Indian, International, Beverages"
Bagel Factory,"Sandwiches, American, Healthy"
Cevapi Bosnian Kebabs,"Arabic, Turkish"
Al Rams Restaurant,"Seafood, American, Chinese"
CIAO Pizzeria Artiginale,"American, Italian, Pizza"
BBQ HOUSE,"Arabic, Grills"
El Mostacho,"Mexican, International"
Bombay Food Factory,"Indian, Snacks "
Bliss Bowl Truck,"Beverages, Healthy"
Gaya express,"Arabic, Grills, International"
The Meating Room,"Chinese, Indian"
Mac Tea Restaurant,"Indian, Arabic, American"
Cafe Cache,"Cafe, Desserts"
Kazdora Restaurant,"Lebanese, Breakfast"
Mai Himmaak Cafeteria,"Cafe, Sandwiches, Burgers"
Geeks Station Cafe,"American, Burgers, International"
Ejdaah Pastry,Pizza
Choco Land Cafe,"Cafe, Desserts"
Zero Four Specialty Coffee,Cafe
Caffe Nero,"Beverages, Cafe, Desserts"
Spoon & Bowl Restaurant,"Asian, Chinese, Seafood"
Al Bustan Cafe,"Fast Food, American, Burgers"
Manqousha Shamiyah Pastries and Shawarma,"Arabic, Grills, Sandwiches"
Al Qersh Seafood Restaurant,"Seafood, Egyptian"
Fitness Food Factory,"Healthy, International, Breakfast"
Tava Indian Roti and Bowls,"Indian, Healthy"
Fiori,Flowers
NAR,"Arabic, Lebanese, Sandwiches"
falafel,"Lebanese, Arabic, Shawarma & Doner"
The Keto Fix,"Healthy, Pizza, Burgers"
Sufraa Bani Yas restaurant,"Iranian, Arabic"
Cheat Day - Wings N' Things,"American, Burgers, Wings"
Motu`s,"Indian, Burgers"
MADERA RESTAURANT,"Arabic, International"
Marina Fresh Supermarket,Grocery
The Terrace,"Arabic, Chinese, Indian"
Bawwabat Alsham Restaurant and Shawerma,"Arabic, Shawarma & Doner, Beverages"
Coffeelism Cafe,"Bakery and Cakes, Cafe, Specialty Store"
Broz Mart,Grocery
Kimbo Espresso Italiano,"Italian, Beverages, Cafe"
Falafel Sultan,"Arabic, Sandwiches"
Thai Wok,"Thai, Asian, Chinese"
Cafe Society,"Cafe, International"
Abou Rabie AlKbeer Restaurant,"Egyptian, International"
Paratta Station,"Breakfast, Indian, Sandwiches"
Al Zaytoun Al Akhdar Cafeteria,"Burgers, Sandwiches, International"
Fuchsia,"Thai, Asian, Seafood"
YUMMY BELGIAN WAFFLE CAFE,"Cafe, Desserts"
Khaana Badosh,"Indian, Pakistani, Chinese"
Vinays Fish & Chips,"Grills, Seafood"
Coffee Tap,"Cafe, Desserts"
Yogurtberry,"Beverages, Healthy, Frozen Yogurt"
Surge,"International, Cafe"
Royal Orchid,"Thai, Asian"
Sakura Japan Sweets and Restaurant,"Desserts, Japanese"
Punjabi Tadka,"Indian, Healthy"
Noor Juice & Grill Restaurant,"Indian, International, Asian"
My Tea,"Beverages, Cafe"
Game Of Frames,"Cafe, Healthy, Sandwiches"
Pinza,"Pizza, Vegetarian, Healthy"
burgerito,"American, Burgers, Sandwiches"
Organic Planet,"Grocery, Specialty Store, Healthy"
Acai 100,"Desserts, Healthy"
Pasta Kana,"Italian, Lebanese, Sandwiches"
Ferns N Petals,"Desserts, International, Cafe"
BURGERAT RESTAURANT,"Burgers, International"
Just Fresh,"Cafe, Desserts"
Balance,"Healthy, Sandwiches, International"
ILA restaurant and cafe,"Arabic, Breakfast, Lebanese"
Falafil Al Sham,"Arabic, Lebanese, Egyptian"
Shawarma Hut,"Shawarma & Doner, Burgers, Lebanese"
Texas Roadhouse,"Burgers, International, American"
Tea n Cafe,"Burgers, Fast Food, American"
Dr Nutrition Center,"Pharmacy, Nutrition, Specialty Store"
Morning Star Restaurant,"Chinese, Indian, Pakistani"
Hermanos Cafe,"Arabic, Chinese, Indian"
Slash Coffee,"Specialty Store, Cafe, Desserts"
Wok - This Way,"Asian, Chinese, Seafood"
Casttello Cafe & Restaurant,"Arabic, Italian, Seafood"
Koukh Al Shay,"International, Beverages, Burgers"
La Fiesta Bakery,"Arabic, Bakery and Cakes, Desserts"
The Kebab Shop,"Shawarma & Doner, Indian, Sandwiches"
Cafee Sospeso By Cafe Barbera,"Cafe, Italian, Sandwiches"
The Hide,"American, International"
Levant`ish,"Arabic, Lebanese, Turkish"
Bon Bon Bakery,"Lebanese, Pizza, Arabic"
Al Mafraq Restaurant,"Arabic, Indian, International"
Spaccanapoli,"Italian, Pizza"
Costa,"Breakfast, Cafe, Sandwiches"
The Chedi Al Bait Sharjah Hotel,"Arabic, Breakfast, International"
Al Thabiah Sweets And Restaurant,"Desserts, Arabic"
Sports Meal Restaurant,Healthy
Mughaliya Darbar Restaurant DMCC,"Indian, Chinese"
Panaderia Bakery,"Asian, Bakery and Cakes, Snacks "
SFC Plus,"Fried Chicken, American, Pizza"
Soy Express,"Chinese, Thai"
Chennai Spice,"Chinese, Desserts, Indian"
Lallumas Restaurant,Indian
Shai Mama,"American, Burgers"
The Avenue Cafe,"Cafe, Desserts"
Desi Deira Restaurant,"Chinese, Indian, Pakistani"
The King Station Cafe,"Cafe, Desserts, Sandwiches"
Bait Mamaty,Grocery
Al Adil,"Grocery, Indian"
Midtown Buzz Restaurant,"American, Burgers, Sandwiches"
Mumbai Biryani,"Indian, Vegetarian, Mandi"
Sandwich Master Cafe,"Fast Food, Indian"
The POKE Project,"Healthy, Japanese, Vegetarian"
Healthy Farm Eatery,"Italian, International, Healthy"
Voltage Burger,"Burgers, American"
Race Cafe,"American, Italian, Beverages"
Karam Beirut Street Kitchen,"Lebanese, Arabic, Shawarma & Doner"
SHAWARMA ALAMIR CAFETERIA,Shawarma & Doner
Fawalah Al Dar Public Food,"Beverages, Emirati"
Zaina Restaurant,"Mandi, Emirati, Arabic"
Clue Specialty Coffee,"Cafe, Breakfast"
Mumbai Biryani,"Indian, Asian"
Karaz From Beirut,"Lebanese, Sandwiches, Arabic"
The POKE Project,"Healthy, Japanese, Vegetarian"
Zaman Beirut Cafeteria,"Arabic, International"
Haji Sahab,"Indian, Pakistani, Grills"
Ibsais Sweets,Desserts
Wow! Maggee & Pav,"Indian, Asian, Fast Food"
Black Burger,"American, Burgers, Italian"
Bestoon Samad,"Arabic, Lebanese"
Tyab wa Monesh,"Arabic, Beverages, Desserts"
Pizza Mail,Pizza
Manisha's Kitchen,"Indian, Sandwiches"
Desi Wings,"American, Indian, Asian"
Tawa Bakery,"Breakfast, Burgers, Healthy"
KD's Woks & Wraps,"Chinese, Seafood, Asian"
Manakish Express Pastries & Cafeteria,"Arabic, Lebanese"
Hood Hood Traditional Restaurant,"Arabic, Burgers, Emirati"
Oyoon Al Dar Restaurant,"Indian, Seafood, Chinese"
Fleuriste Natural Flowers,Flowers
BLK Cab Coffee,"Cafe, Pizza"
Qaser Albatra Resturant,"Arabic, Lebanese, International"
Al Liwan Ice Cream And Beverages,"Beverages, Desserts"
The Palms Restaurant,"Asian, Healthy, Indian"
Potato Head,"American, Burgers, Sandwiches"
Beirut Bites,"Arabic, Breakfast, Lebanese"
Al Kateam Restaurant,"Arabic, Mandi, Emirati"
Junior Seafood Restaurant,"Seafood, Thai, International"
Test Nintex Docusign UAE,
Al Khettar,"Emirati, Arabic"
EETEN,International
Madame Beirut,"Lebanese, Breakfast, Healthy"
Yummy Belgian Waffle Cafe,"Desserts, Cafe"
Rukn Alfaris Grills,"Grills, Arabic"
Bacolod Restaurant,"Asian, Beverages"
100 & TEN,"Healthy, Vegetarian, Beverages"
Moreish Restaurant & Cafe,"Italian, International, Desserts"
Zahra's Persian Kitchen,"Iranian, Arabic"
The One,"Breakfast, Turkish, International"
Al Sakeek Grills,"Arabic, Grills, Lebanese"
Mash Mood,"Bowls, Sandwiches, Hot Dogs"
Rainbow Steak House,"International, Asian, Seafood"
San Francisco Coffee Company,"Cafe, Desserts, Beverages"
Calicut Kitchen,"Burgers, Chinese, Indian"
Only Cookies Cafe,"Specialty Store, Desserts"
Shamiana,Indian
Sandwich World Restaurant,"Burgers, Sandwiches"
Jamaica Blue,"Cafe, Healthy"
Zattara,"Lebanese, Arabic, Breakfast"
Burger Crazy,Indian
Tea Junction Express Cafeteria,"Burgers, Sandwiches"
BurgerFuel,"Burgers, Fast Food, American"
Desert And Forest Restaurant,"Arabic, Italian, Japanese"
Trattoria Toscana,Italian
FOOD COURT bySWHK,"Salads, Wings, Bowls"
Pizza Pazza Restaurant,Pizza
Maximum Traditional Foods,"Arabic, Egyptian, Emirati"
Red Lobster,Seafood
Wake Up Cafe,"Desserts, Cafe"
Al Gwaizi Mandi & Madbi Kitchen & Restaurant,"Arabic, Mandi, Emirati"
Layalina Restaurant,"Arabic, International"
Moulin D'Or,"Lebanese, Shawarma & Doner, Cafe"
Nuga Cafe,"Cafe, Desserts, Breakfast"
Soliel Celebration & Gifts,Flowers
QualityFood,"Grocery, Beverages, Snacks "
Ekzotika,Asian
Ziu ko,"Asian, Japanese, Thai"
Mumbai Meri Jan,"Burgers, Chinese, Desserts"
Al Qanas,"Burgers, Sandwiches, American"
Al Koroum Restaurant,"Egyptian, Arabic, Sandwiches"
MOM's Cafe,"Cafe, Arabic, Shawarma & Doner"
Route E66,"American, Burgers, Sandwiches"
Noor Al Mandi,"Mandi, Arabic"
Chuto Sushi Restaurant,"Japanese, Asian, Beverages"
Al Taaby Traditional Food,"Breakfast, Emirati"
Giant Burger,Burgers
Manzo Restaurant,"Burgers, Japanese, American"
Greens N Grills Restaurant,"Grills, Healthy"
Lahori Massala Restaurant,"Pakistani, Arabic, Indian"
Kanaka Specialty coffee,"Cafe, Desserts, International"
BBQ & Karahi Kitchen,"Grills, Indian"
Biryani Mahal Restaurant,"Pakistani, Indian"
Reef Al Falah Almandi,"Arabic, Lebanese, Mandi"
Thai Express,Thai
Pizza Man,"Pizza, Fast Food, Italian"
Tuile Cafe,"Arabic, Cafe, International"
Bayalat Shay,"Emirati, Breakfast, Desserts"
Al Bashawat Restaurant & Sweets,"Arabic, Snacks , Egyptian"
Koshari ElKabeer,"Egyptian, Arabic"
Pizzaro,"Pizza, Italian"
Biryani Bucket,"Arabic, Indian"
Al Mandi & Al Madhbi House,"Arabic, Mandi"
El Greco,"Healthy, Sandwiches, Shawarma & Doner"
800PIZZA,"Pizza, Italian"
T Chocolate,"Specialty Store, Desserts, Grocery"
Al Nakha Al Dimashqya Restaurant,"Arabic, Breakfast, Sandwiches"
Zam Zam,"Arabic, Mandi"
Subway,"Healthy, Sandwiches, Breakfast"
Abu Anas Refreshments,"Arabic, Burgers"
Sofra Turkish Restaurant,"Turkish, International"
Shock Burger,"Burgers, International, American"
Falla Restaurant,"American, Healthy, Italian"
Diet Point,"Healthy, Sandwiches, Burgers"
Rabea Al Madina Restaurant,"Arabic, Burgers, Fast Food"
Karam Alsham,"Arabic, Shawarma & Doner, Lebanese"
Khaleej Tacos,"Mexican, International"
Madfoon AL Khimah,"Arabic, Mandi, Emirati"
Besbas,"Arabic, Mandi"
WINGSTAR,"American, Wings"
Al Kashkha Cafeteria,"International, Sandwiches"
Hot Burger,"American, Indian, Pizza"
Shahi Paratha Roll,"Pakistani, Indian"
Container Burger,"Burgers, Italian, American"
Biriyani Bazaar,"Indian, Mandi"
Karam Coffee,"Specialty Store, Roastery"
Gerry's Grill,"Cafe, Seafood, International"
Mission Manoushe,"Sandwiches, Pizza"
On The Wood Bakery,"Breakfast, Lebanese, Sandwiches"
Falafil and Manqosha Restaurant,"Arabic, Breakfast, Lebanese"
Paradise Restaurant,"Asian, Indian"
Small Cakes A Cupcakery,Desserts
Aroos Al Saeeda Restaurant & Cafeteria,Grills
Saya braserrie Cafe,"Breakfast, Desserts, International"
Apna Dhaba,"Indian, Chinese, Grills"
Kaifak Burger,"Burgers, International"
Grand Barbeque Restaurant,Indian
Spice of India,"Indian, Vegetarian"
Astro Burger,Burgers
Paratta Station,"Burgers, Sandwiches, Beverages"
Nab Juices,Beverages
Slider Box,"American, Sandwiches, Hot Dogs"
Makers of Milkshakes,"American, Desserts, Beverages"
Lebanese Corner Restaurant,"Lebanese, Sandwiches, Arabic"
Switch,"Burgers, Desserts, Italian"
Doner Kebap,"Shawarma & Doner, Sandwiches, Turkish"
Fado Irish,"International, Burgers, Sandwiches"
Konz,"Burgers, Cafe, International"
Al Kanafanji,Desserts
Pizza & Co,"Pizza, Fast Food, Italian"
SugarMoo,Desserts
Rogue Coffee,"Beverages, Pizza, Arabic"
Coco Tea Restaurant & Cafeteria,"American, Burgers, Fast Food"
Patatello cafe,"Cafe, Desserts, Burgers"
Triptych Restaurant And Cafe,"International, Cafe, Desserts"
Cafe Afi,"Italian, Cafe, Desserts"
Crumby Breakfast & Pizza,"Italian, Pizza, Breakfast"
Bora Bora Juice,Beverages
Khabeer Al Shay Cafe,"Fast Food, Arabic, Burgers"
Purple Fork,"Italian, International"
Pink Mango Indian Kitchen,"Indian, Grills, Healthy"
Unique Burger Cafteria,"American, Burgers, Fast Food"
Amoria Foodstuff,Grocery
Al Suhool Cafeteria,"Beverages, Burgers, Sandwiches"
AL DHAFRAH PHARMACY,Pharmacy
Shanghai Station1,"Asian, Chinese, Thai"
Danat Shay Cafeteria,Burgers
Nurai Restaurant & Cafe,"Lebanese, International, Arabic"
Mizna's Cafeteria,"American, Burgers, Sandwiches"
Al Sondos Restaurant,"Arabic, Lebanese"
SS Bucket Biryani,"Indian, Pakistani"
Yamazaki Bakery,"Breakfast, Desserts, Bakery and Cakes"
Food Box,"Japanese, Seafood, Italian"
Al Safadi Restaurant,"International, Lebanese, Seafood"
Carlos,"Beverages, Pizza"
Tummy Yummies Resto Cafe,"Burgers, Cafe, Italian"
The Bridge Cafe & Restaurant,Seafood
Latte Cafe,"Beverages, Cafe, Desserts"
Bio Cafe,"Beverages, Cafe, Desserts"
Al Mugad Traditional Food,"Arabic, Emirati"
Manaesho,"Lebanese, Sandwiches, Healthy"
Bab Deira Restaurant,"Grills, Indian, Pakistani"
Pop My Berry,"Desserts, Healthy, Breakfast"
Ferns N Petals,Flowers
Ayoush Restaurant & Cafe,"Breakfast, Sandwiches, Arabic"
Rosenheim Flowers,Flowers
Al Nafoorah,"Arabic, Lebanese"
Al Neem Pharmacy,Pharmacy
Barzat Alain,"Arabic, Mandi"
Bebo's Bowls,"Healthy, Bowls"
Al Chef Al Shami,"Lebanese, Sandwiches, Arabic"
Yummy Hyderabadi Restaurant,"Indian, Pakistani"
Fresh & Light,"Healthy, Sandwiches, Breakfast"
Jimmy`s Killer Prawns,"International, Beverages, Seafood"
Waffle Secret,Desserts
Nabeel Nafiseh Sweets,Desserts
Cibo Italiano,"Italian, Pizza, Sandwiches"
Dumpukht Biryani Restaurant,"Indian, Pakistani"
Al Hareef Cafeteria,"Egyptian, Arabic, Grills"
Camon and Limon,"Arabic, Shawarma & Doner, Lebanese"
Cedar Tree,Lebanese
Hiroshima Restaurant,"Japanese, Seafood, International"
Bait Omi Restaurant,"Arabic, Seafood"
Kanafandi,Desserts
Charcoal Garden Restaurant & Cafe,"International, Arabic, Lebanese"
Bombay Darbar,"Indian, Vegetarian, Chinese"
Bubble Station,"Beverages, Cafe"
Pizza Italians,"Pizza, Italian"
Triangle Restaurant,"American, Burgers, Italian"
Chicken 65,"Indian, International, Asian"
Mama Sushi,"Japanese, Healthy"
Express Pastry,"Arabic, Sandwiches, Egyptian"
Ard Hot And Cold Cafeteria & Restaurant,"Sandwiches, Beverages"
Chalet Berezka Restaurant,International
Fern El Balad,"Lebanese, Arabic, Breakfast"
Pizzeria Napoli,"Pizza, Burgers, Italian"
Fajr Al Ain Butchery & Grills & Pastry,"Grills, Sandwiches"
Cakes Tarts & Arts,"Desserts, International, Bakery and Cakes"
Shawermatic,"Shawarma & Doner, Arabic"
The Charcoal Shack,"Grills, Arabic, Burgers"
Indian Vegetarian House,"Indian, Pakistani, Vegetarian"
Haris AlHara Restaurant,"Emirati, Sandwiches"
Rakers Restaurant,"Cafe, Sandwiches"
Essentially Health Food,"Grocery, Beverages, Healthy"
Noor Al Madeena,"Asian, Chinese, Indian"
Kashkha Cafe,"Indian, Sandwiches, Shawarma & Doner"
Mishmish & Toot Fastfood,"Beverages, Desserts"
Sushi Bar,"Japanese, Italian"
Al Akell Restaurant,"Arabic, Grills, Sandwiches"
Healthy dream food cafe,"Healthy, Snacks "
Schnitzel House,"Grills, Pakistani, International"
Wuhan Restaurant,"Chinese, Seafood, Asian"
Yildiz Restaurant,"Turkish, Burgers"
Yin & Yang Restaurant,"Chinese, Asian, Soups"
Mama's Cupcakes,Desserts
Ard Al Hadara Mandi & Madhbi Restaurant,"Arabic, Mandi"
Lucky Strike,"Burgers, Pizza, International"
Paragon Restaurant,"Breakfast, Desserts, Indian"
Dream City Cafeteria,"Cafe, Breakfast"
Al Masar Traditional Restaurant,Emirati
Thai Wok Asap,"Thai, Asian, Seafood"
Eat Smart,"Healthy, Sandwiches, Burgers"
Miles Cafe,"Beverages, Cafe, Healthy"
800 Pharmacy,Pharmacy
Lee's Wok,"Chinese, Asian"
Jedoudna Restaurant,"Lebanese, Sandwiches, Breakfast"
Mandilicious,"Arabic, Mandi"
Ghosen Al Zaitoun Restaurant,"Arabic, Lebanese"
Snowflake,"Beverages, Cafe, Desserts"
Lee Cakes,Desserts
Al Mathaq Al Dimashqi Restaurant,"Arabic, Shawarma & Doner, Lebanese"
800PIZZA Market,Grocery
Khibz w Kabab Cafeteria,"Arabic, Burgers, Sandwiches"
Fruits,"Beverages, Desserts"
Vibes Burger,"Burgers, Lebanese, Sandwiches"
Alpinoy Golden Restaurant,"Asian, Chinese, International"
THE KITCHEN EATERY,"Italian, Pasta, Healthy"
Value Mart,"Grocery, Indian"
Asaeir Al Khan Cafeteria,"Arabic, International"
Gulou Hotpot,Chinese
Overdose Cafe,"Cafe, Desserts"
Nova Sweets And Cafe,"Cafe, Desserts, International"
Maghetto By Cafe Barbera,"Healthy, Sandwiches, International"
Felix and Norton,"Desserts, Cafe"
BurgerFuel,Burgers
Shahfarhan Cafeteria,Indian
Pro Burger,"Sandwiches, Beverages, Burgers"
Cafeteria Muqarmesh & Haar,"Burgers, Pizza"
Alseef Restaurant For Mandi And Bukhari,"Arabic, Mandi"
Al Mandous Restaurant & Cafe,International
Cuko By Chef Molly,"Egyptian, Arabic, Healthy"
Momo And More,"Indian, Vegetarian, Chinese"
Fataa Kawarea,"Arabic, Sandwiches, Egyptian"
Romano`s Macaroni Grill,Italian
Antonio By Cafe Barbera,"Cafe, Desserts, Italian"
Al Merkaaz,"Arabic, Lebanese"
Lafarina Pizza and Pasta,"Italian, Pizza"
Al Bait Al Sanaanee Mandi & Madhbi,"Arabic, Mandi"
True Burger,"Sandwiches, Beverages, Burgers"
Gerard Cafe,"Cafe, Sandwiches, International"
Grinta,"Cafe, Desserts, Beverages"
Sushi Station Restaurant,Japanese
Burger store plus,"American, Burgers"
Lafeef Cafe,"Arabic, International"
Red Toro Burger,"Breakfast, Burgers, International"
Raju Omlet,"Indian, Breakfast"
Biryani Pot,"Indian, Pakistani, International"
Eloquent Elephant,International
Blue Land,"Arabic, Chinese, Indian"
Cantina 1810,"Mexican, Sandwiches"
Al khawali Falafel and Shawarma,"Arabic, Shawarma & Doner, Sandwiches"
Motimahal Delux,"Indian, Seafood, Vegetarian"
Shahryar Restaurant,"Iranian, Arabic, Indian"
Shajrat Al Narinj Restaurant & Cafe,"Healthy, Italian, Sandwiches"
Barista Cafe,"Breakfast, Cafe, Desserts"
Claypot Restaurant,Indian
ALRAAI ALSAEED,"Arabic, Grills, Egyptian"
Nawaf Coffee,"Cafe, Sandwiches"
Konafa Coffee,"Desserts, International, Cafe"
Bayt Al Karam,"Arabic, Grills"
Abdoun Restaurant And Cafe,"Arabic, Lebanese"
Kurtos Kalacs,Desserts
